//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
53    |LCJL|XVIILA,SJLA    |XVII     |62-64,44-46,(40-42),44-46,(34),(18-20),6-8                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |D40,D34,D28,D30,D14,SJ;
54    |LCJL|XVIILA,D34A,SFLA    |XVII     |62-64,44-46,(40-42),44-46,(34),18-20,(14-16),2-4                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D40,D34,D28,D30,D10,D6,SF;
55    |LCJL|XVIILA,D34A,SJFLA    |XVII     |62-64,44-46,(40-42),44-46,(34),18-20,(14-16),(2-4)                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D40,D34,D28,D30,D10,D6,D2,SJF;
56    |LCJL|XVIILA,D28A,SFLA    |XVII     |62-64,44-46,(40-42),44-46,(34),18-20,(14-16),2-4                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D40,D34,D28,D30,D10,D6,SF;
57    |LCJL|XVIILA,D28A,SJFLA    |XVII     |62-64,44-46,(40-42),44-46,(34),18-20,(14-16),(2-4)                     |62DG,42-44DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D40,D34,D28,D30,D10,D6,D2,SJF;
58    |LCJL|XVIILA,SJFLA    |XVII     |62-64,44-46,40-42,(10-12),2-4                     |62DG,42-44DG,12/44WG,12DG,10DG,2/10WG,2DG,VIIIBG,14DG,YSJFG                     |D40,D36,D22,D12,D4,D2,SJF;
59    |LCJL|X6LA,D30A,SFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),2-4                     |52DG,40-46DG,54-60DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
60    |LCJL|X6LA,D30A,SJFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),(2-4)                     |52DG,40-46DG,54-60DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
61    |LCJL|X6LA,D10A,SFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),2-4                     |52DG,40-46DG,34-36DG,16-20DG,14DG,54-60DG,12DG,4/14WG,4DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
62    |LCJL|X6LA,D10A,SJFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),(2-4)                     |52DG,40-46DG,34-36DG,16-20DG,14DG,54-60DG,12DG,4/14WG,4DG,2DG,VIIIBG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
63    |LCJL|X6LA,SFLA    |X6     |52,40-42,(44-46),40-42,10-12,14-16,2-4                     |52DG,40-46DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,54-60DG,X1LQ                     |D42,D36,D22,D10,D6,SF;
64    |LCJL|X6LA,SLA    |X6     |52,40-42,44-46,(34),18-20,14-16                     |52DG,40-46DG,34-36DG,16-20DG,54-60DG,S3JG                     |D42,D34,D28,D30,S;
65    |LCJL|X6LA,SJLA    |X6     |52,40-42,44-46,(34),(18-20),6-8                     |52DG,40-46DG,34-36DG,16-20DG,18DG,8DG,54-60DG,26DG,SJG                     |D42,D34,D28,D30,D14,SJ;
66    |LCJL|X6LA,D34A,SFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),2-4                     |52DG,40-46DG,54-60DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
67    |LCJL|X6LA,D34A,SJFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),(2-4)                     |52DG,40-46DG,54-60DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
68    |LCJL|X6LA,D28A,SFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),2-4                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
69    |LCJL|X6LA,D28A,SJFLA    |X6     |52,40-42,44-46,(34),18-20,(14-16),(2-4)                     |52DG,40-46DG,34-36DG,54-60DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
70    |LCJL|X6LA,SJFLA    |X6     |52,40-42,(44-46),40-42,(10-12),2-4                     |52DG,40-46DG,42-44DG,12/44WG,12DG,10DG,2/10WG,2DG,VIIIBG,54-60DG,14DG,YSJFG                     |D42,D36,D22,D12,D4,D2,SJF;
71    |LCJL|X5LA,D30A,SFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),2-4                     |54-60DG,52DG,40-46DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
72    |LCJL|X5LA,D30A,SLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,14-16                     |54-60DG,52DG,40-46DG,16-20DG,S3JG                     |D42,D34,D28,D30,S;
73    |LCJL|X5LA,D30A,SJLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),(18-20),6-8                     |54-60DG,52DG,40-46DG,16-20DG,18DG,8DG,26DG,SJG                     |D42,D34,D28,D30,D14,SJ;
74    |LCJL|X5LA,D30A,SJFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),(2-4)                     |54-60DG,52DG,40-46DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
75    |LCJL|X5LA,D10A,SFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),2-4                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,12DG,4/14WG,4DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
76    |LCJL|X5LA,D10A,SJFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),(2-4)                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,12DG,4/14WG,4DG,2DG,VIIIBG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
77    |LCJL|X5LA,SFLA    |X5     |54-56,58-60,(52),40-42,(44-46),40-42,10-12,14-16,2-4                     |54-60DG,52DG,40-46DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,X1LQ                     |D42,D36,D22,D10,D6,SF;
78    |LCJL|X5LA,SLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,14-16                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,S3JG                     |BA,D28,D30,S;
79    |LCJL|X5LA,SJLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,(18-20),6-8                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |BA,D28,D30,D14,SJ;
80    |LCJL|X5LA,D34A,SFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),2-4                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
81    |LCJL|X5LA,D34A,SLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,14-16                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,S3JG                     |D42,D34,D28,D30,S;
82    |LCJL|X5LA,D34A,SJLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),(18-20),6-8                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |D42,D34,D28,D30,D14,SJ;
83    |LCJL|X5LA,D34A,SJFLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),18-20,(14-16),(2-4)                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
84    |LCJL|X5LA,BAA,SFLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
85    |LCJL|X5LA,BAA,SJFLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
86    |LCJL|X5LA,D28A,SFLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
87    |LCJL|X5LA,D28A,SJLA    |X5     |54-56,58-60,(52),40-42,44-46,(34),(18-20),6-8                     |54-60DG,52DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |D42,D34,D28,D30,D14,SJ;
88    |LCJL|X5LA,D28A,SJFLA    |X5     |54-56,(58-60),54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |54-60DG,56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
89    |LCJL|X5LA,SJFLA    |X5     |54-56,58-60,(52),40-42,(44-46),40-42,(10-12),2-4                     |54-60DG,52DG,40-46DG,42-44DG,12/44WG,12DG,10DG,2/10WG,2DG,VIIIBG,14DG,YSJFG                     |D42,D36,D22,D12,D4,D2,SJF;
90    |LCJL|X4LA,D30A,SFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |56-58DG,48-50DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
91    |LCJL|X4LA,D30A,SJFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |56-58DG,48-50DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
92    |LCJL|X4LA,D10A,SFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,12DG,4/14WG,4DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
93    |LCJL|X4LA,D10A,SJFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,12DG,4/14WG,4DG,2DG,VIIIBG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
94    |LCJL|X4LA,SFLA    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42,10-12,14-16,2-4                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG,12/44WG,12DG,14DG,4/14WG,4DG,X1LQ                     |D42,D36,D22,D10,D6,SF;
95    |LCJL|X4LA,SLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,14-16                     |56-58DG,48-50DG,34-36DG,16-20DG,S3JG                     |BA,D28,D30,S;
96    |LCJL|X4LA,SJLA    |X4     |58-60,54-56,50,(48),36-38,34,(18-20),6-8                     |56-58DG,48-50DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |BA,D28,D30,D14,SJ;
97    |LCJL|X4LA,D34A,SFLA    |X4     |58-60,(54-56),58-60,(52),40-42,44-46,(34),18-20,(14-16),2-4                     |56-58DG,54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |D42,D34,D28,D30,D10,D6,SF;
98    |LCJL|X4LA,D34A,SLA    |X4     |58-60,(54-56),58-60,(52),40-42,44-46,(34),18-20,14-16                     |56-58DG,54-60DG,52DG,40-46DG,34-36DG,16-20DG,S3JG                     |D42,D34,D28,D30,S;
99    |LCJL|X4LA,D34A,SJLA    |X4     |58-60,(54-56),58-60,(52),40-42,44-46,(34),(18-20),6-8                     |56-58DG,54-60DG,52DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG,SJG                     |D42,D34,D28,D30,D14,SJ;
100    |LCJL|X4LA,D34A,SJFLA    |X4     |58-60,(54-56),58-60,(52),40-42,44-46,(34),18-20,(14-16),(2-4)                     |56-58DG,54-60DG,52DG,40-46DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |D42,D34,D28,D30,D10,D6,D2,SJF;
101    |LCJL|X4LA,BAA,SFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
102    |LCJL|X4LA,BAA,SJFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
103    |LCJL|X4LA,D28A,SFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),2-4                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
104    |LCJL|X4LA,D28A,SJFLA    |X4     |58-60,54-56,50,(48),36-38,34,18-20,(14-16),(2-4)                     |56-58DG,48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,2DG,VIIIBG,12DG,YSJFG                     |BA,D28,D30,D10,D6,D2,SJF;
105    |LCJL|X4LA,SJFLA    |X4     |58-60,(54-56),58-60,(52),40-42,(44-46),40-42,(10-12),2-4                     |56-58DG,54-60DG,52DG,40-46DG,42-44DG,12/44WG,12DG,10DG,2/10WG,2DG,VIIIBG,14DG,YSJFG                     |D42,D36,D22,D12,D4,D2,SJF;
106    |LCJL|X3LA,SFLA    |X3     |(50),(48),36-38,34,18-20,(14-16),2-4                     |48-50DG,34-36DG,16-20DG,14DG,4/14WG,4DG,56-58DG,12DG,X1LQ                     |BA,D28,D30,D10,D6,SF;
107    |LCJL|X3LA,SLA    |X3     |(50),(48),36-38,34,18-20,14-16                     |48-50DG,34-36DG,16-20DG,56-58DG,S3JG                     |BA,D28,D30,S;
