//联锁表-集 宁 南 站(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
221    |DCJL|D5A,D31A    |D5     |(5-7),9-11,(27)                     |5DG,7DG,9DG,27DG                     |D9;
222    |DCJL|D5A,D35A    |D5     |(5-7),9-11,(27),29                     |5DG,7DG,9DG,27DG,29DG                     |D9;
223    |DCJL|D5A,SVIIIDA    |D5     |(5-7),(9-11)                     |5DG,7DG,9DG,11DG                     |D9;
224    |DCJL|D5A,SVIIDA    |D5     |(5-7),9-11,27                     |5DG,7DG,9DG,27DG                     |D9;
225    |DCJL|D5A,D45A    |D5     |(5-7),(9-11),(39-43),(45),(49)                     |5DG,7DG,9DG,11DG,39DG,41-49DG                     |D9;
226    |DCJL|D5A,D43A    |D5     |(5-7),(9-11),(39-43),(45),49                     |5DG,7DG,9DG,11DG,39DG,41-49DG                     |D9;
227    |DCJL|D5A,D41A    |D5     |(5-7),(9-11),(39-43),45                     |5DG,7DG,9DG,11DG,39DG,41-49DG                     |D9;
228    |DCJL|D5A,D39A    |D5     |(5-7),(9-11),39-43                     |5DG,7DG,9DG,11DG,39DG                     |D9;
229    |DCJL|D5A,S6DA    |D5     |(5-7),9-11,(27),(29)                     |5DG,7DG,9DG,27DG,29DG                     |D9;
230    |DCJL|D5A,S5DA    |D5     |5-7,17-19,(13-15),17-19,(21),31-33,(35-37),31-33                     |5DG,13-19DG,15-17DG,21DG,33-35DG,31-37DG                     |D7;
231    |DCJL|D5A,S4DA    |D5     |5-7,17-19,(13-15),17-19,(21),31-33,35-37                     |5DG,13-19DG,15-17DG,21DG,33-35DG                     |D7;
232    |DCJL|D5A,S3DA    |D5     |5-7,17-19,(13-15),17-19,21                     |5DG,13-19DG,15-17DG,21DG                     |D7;
233    |DCJL|D5A,SIIDA    |D5     |5-7,17-19,13-15,23-25                     |5DG,13-19DG,23DG                     |D7;
234    |DCJL|D5A,SIDA    |D5     |5-7,17-19,13-15,(23-25)                     |5DG,13-19DG,23DG,25DG                     |D7;
235    |DCJL|D1A,D5A    |D1     |(1-3)                     |1DG,3DG                     |D5;
236    |DCJL|D1A,D9A    |D1     |1-3,5-7                     |1DG,7DG                     |D3,D9;
237    |DCJL|D1A,D7A    |D1     |(1-3),5-7                     |1DG,3DG,5DG                     |D5;
238    |DCJL|D1A,D21A    |D1     |(1-3),5-7,17-19,(13-15),17-19                     |1DG,3DG,5DG,13-19DG,15-17DG                     |D5;
239    |DCJL|D1A,D23A    |D1     |(1-3),5-7,17-19,13-15                     |1DG,3DG,5DG,13-19DG                     |D5;
240    |DCJL|D1A,D29A    |D1     |(1-3),5-7,17-19,(13-15),17-19,(21)                     |1DG,3DG,5DG,13-19DG,15-17DG,21DG                     |D5;
241    |DCJL|D1A,D19A    |D1     |1-3,5-7,9-11                     |1DG,7DG,9DG                     |D3,D9;
242    |DCJL|D1A,D31A    |D1     |1-3,5-7,9-11,(27)                     |1DG,7DG,9DG,27DG                     |D3,D9;
243    |DCJL|D1A,D35A    |D1     |1-3,5-7,9-11,(27),29                     |1DG,7DG,9DG,27DG,29DG                     |D3,D9;
244    |DCJL|D1A,SVIIIDA    |D1     |1-3,5-7,(9-11)                     |1DG,7DG,9DG,11DG                     |D3,D9;
245    |DCJL|D1A,SVIIDA    |D1     |1-3,5-7,9-11,27                     |1DG,7DG,9DG,27DG                     |D3,D9;
246    |DCJL|D1A,D45A    |D1     |1-3,5-7,(9-11),(39-43),(45),(49)                     |1DG,7DG,9DG,11DG,39DG,41-49DG                     |D3,D9;
247    |DCJL|D1A,D43A    |D1     |1-3,5-7,(9-11),(39-43),(45),49                     |1DG,7DG,9DG,11DG,39DG,41-49DG                     |D3,D9;
248    |DCJL|D1A,D41A    |D1     |1-3,5-7,(9-11),(39-43),45                     |1DG,7DG,9DG,11DG,39DG,41-49DG                     |D3,D9;
249    |DCJL|D1A,D39A    |D1     |1-3,5-7,(9-11),39-43                     |1DG,7DG,9DG,11DG,39DG                     |D3,D9;
250    |DCJL|D1A,S6DA    |D1     |1-3,5-7,9-11,(27),(29)                     |1DG,7DG,9DG,27DG,29DG                     |D3,D9;
251    |DCJL|D1A,S5DA    |D1     |1-3,5-7,9-11,(27),29,35-37,31-33                     |1DG,7DG,9DG,27DG,29DG,31-37DG                     |D3,D9;
252    |DCJL|D1A,S4DA    |D1     |1-3,5-7,9-11,(27),29,35-37,(31-33),35-37                     |1DG,7DG,9DG,27DG,29DG,31-37DG,33-35DG                     |D3,D9;
253    |DCJL|D1A,S3DA    |D1     |(1-3),5-7,17-19,(13-15),17-19,21                     |1DG,3DG,5DG,13-19DG,15-17DG,21DG                     |D5;
254    |DCJL|D1A,SIIDA    |D1     |(1-3),5-7,17-19,13-15,23-25                     |1DG,3DG,5DG,13-19DG,23DG                     |D5;
255    |DCJL|D1A,SIDA    |D1     |(1-3),5-7,17-19,13-15,(23-25)                     |1DG,3DG,5DG,13-19DG,23DG,25DG                     |D5;
256    |DCJL|D9A,XFDZA    |D9     |(5-7),1-3                     |7DG,5DG,3DG                     |D5,XF;
257    |DCJL|D9A,D3A    |D9     |5-7                     |7DG                     |D3;
258    |DCJL|D9A,D1A    |D9     |5-7,1-3                     |7DG,1DG                     |D3;
259    |DCJL|D7A,XFDZA    |D7     |5-7,1-3                     |5DG,3DG                     |D5,XF;
260    |DCJL|D7A,D1A    |D7     |5-7,(1-3)                     |5DG,3DG,1DG                     |D5,D1;
261    |DCJL|D15A,D21A    |D15     |17-19,(13-15),17-19                     |13-19DG,15-17DG                     |D21;
262    |DCJL|D15A,D23A    |D15     |17-19,13-15                     |13-19DG                     |D23;
263    |DCJL|D15A,D29A    |D15     |17-19,(13-15),17-19,(21)                     |13-19DG,15-17DG,21DG                     |D21;
264    |DCJL|D15A,S5DA    |D15     |17-19,(13-15),17-19,(21),31-33,(35-37),31-33                     |13-19DG,15-17DG,21DG,33-35DG,31-37DG                     |D21;
265    |DCJL|D15A,S4DA    |D15     |17-19,(13-15),17-19,(21),31-33,35-37                     |13-19DG,15-17DG,21DG,33-35DG                     |D21;
266    |DCJL|D15A,S3DA    |D15     |17-19,(13-15),17-19,21                     |13-19DG,15-17DG,21DG                     |D21;
267    |DCJL|D15A,SIIDA    |D15     |17-19,13-15,23-25                     |13-19DG,23DG                     |D23;
268    |DCJL|D15A,SIDA    |D15     |17-19,13-15,(23-25)                     |13-19DG,23DG,25DG                     |D23;
269    |DCJL|D13A,D21A    |D13     |13-15,17-19                     |15-17DG                     |D21;
270    |DCJL|D13A,D23A    |D13     |13-15,(17-19),13-15                     |15-17DG,13-19DG                     |D23;
271    |DCJL|D13A,D29A    |D13     |13-15,17-19,(21)                     |15-17DG,21DG                     |D21;
272    |DCJL|D13A,S5DA    |D13     |13-15,17-19,(21),31-33,(35-37),31-33                     |15-17DG,21DG,33-35DG,31-37DG                     |D21;
273    |DCJL|D13A,S4DA    |D13     |13-15,17-19,(21),31-33,35-37                     |15-17DG,21DG,33-35DG                     |D21;
274    |DCJL|D13A,S3DA    |D13     |13-15,17-19,21                     |15-17DG,21DG                     |D21;
275    |DCJL|D13A,SIIDA    |D13     |13-15,(17-19),13-15,23-25                     |15-17DG,13-19DG,23DG                     |D23;
276    |DCJL|D13A,SIDA    |D13     |13-15,(17-19),13-15,(23-25)                     |15-17DG,13-19DG,23DG,25DG                     |D23;
277    |DCJL|D21A,D29A    |D21     |(21)                     |21DG                     |D29;
278    |DCJL|D21A,S5DA    |D21     |(21),31-33,(35-37),31-33                     |21DG,33-35DG,31-37DG                     |D29;
279    |DCJL|D21A,S4DA    |D21     |(21),31-33,35-37                     |21DG,33-35DG                     |D29;
280    |DCJL|D21A,S3DA    |D21     |21                     |21DG                     |S3;
281    |DCJL|D23A,SIIDA    |D23     |23-25                     |23DG                     |SII;
282    |DCJL|D23A,SIDA    |D23     |(23-25)                     |23DG,25DG                     |SI;
283    |DCJL|D27A,SIDA    |D27     |23-25                     |25DG                     |SI;
284    |DCJL|D29A,XFDZA    |D29     |(21),17-19,(13-15),17-19,5-7,1-3                     |21DG,15-17DG,13-19DG,5DG,3DG                     |D21,D15;
285    |DCJL|D29A,D1A    |D29     |(21),17-19,(13-15),17-19,5-7,(1-3)                     |21DG,15-17DG,13-19DG,5DG,3DG,1DG                     |D21,D15;
286    |DCJL|D29A,D15A    |D29     |(21),17-19,(13-15),17-19                     |21DG,15-17DG,13-19DG                     |D21,D15;
287    |DCJL|D29A,D13A    |D29     |(21),17-19,13-15                     |21DG,15-17DG                     |D21,D13;
288    |DCJL|D11A,D19A    |D11     |9-11                     |9DG                     |D19;
289    |DCJL|D11A,D31A    |D11     |9-11,(27)                     |9DG,27DG                     |D19;
290    |DCJL|D11A,D35A    |D11     |9-11,(27),29                     |9DG,27DG,29DG                     |D19;
291    |DCJL|D11A,SVIIIDA    |D11     |(9-11)                     |9DG,11DG                     |SVIII;
292    |DCJL|D11A,SVIIDA    |D11     |9-11,27                     |9DG,27DG                     |D19;
293    |DCJL|D11A,D45A    |D11     |(9-11),(39-43),(45),(49)                     |9DG,11DG,39DG,41-49DG                     |SVIII;
294    |DCJL|D11A,D43A    |D11     |(9-11),(39-43),(45),49                     |9DG,11DG,39DG,41-49DG                     |SVIII;
295    |DCJL|D11A,D41A    |D11     |(9-11),(39-43),45                     |9DG,11DG,39DG,41-49DG                     |SVIII;
296    |DCJL|D11A,D39A    |D11     |(9-11),39-43                     |9DG,11DG,39DG                     |SVIII;
297    |DCJL|D11A,S6DA    |D11     |9-11,(27),(29)                     |9DG,27DG,29DG                     |D19;
298    |DCJL|D11A,S5DA    |D11     |9-11,(27),29,35-37,31-33                     |9DG,27DG,29DG,31-37DG                     |D19;
299    |DCJL|D11A,S4DA    |D11     |9-11,(27),29,35-37,(31-33),35-37                     |9DG,27DG,29DG,31-37DG,33-35DG                     |D19;
300    |DCJL|D17A,SVIIIDA    |D17     |9-11                     |11DG                     |SVIII;
301    |DCJL|D17A,D45A    |D17     |9-11,(39-43),(45),(49)                     |11DG,39DG,41-49DG                     |SVIII;
302    |DCJL|D17A,D43A    |D17     |9-11,(39-43),(45),49                     |11DG,39DG,41-49DG                     |SVIII;
303    |DCJL|D17A,D41A    |D17     |9-11,(39-43),45                     |11DG,39DG,41-49DG                     |SVIII;
304    |DCJL|D17A,D39A    |D17     |9-11,39-43                     |11DG,39DG                     |SVIII;
305    |DCJL|D19A,XFDZA    |D19     |9-11,(5-7),1-3                     |9DG,7DG,5DG,3DG                     |D11;
306    |DCJL|D19A,D3A    |D19     |9-11,5-7                     |9DG,7DG                     |D11;
307    |DCJL|D19A,D1A    |D19     |9-11,5-7,1-3                     |9DG,7DG,1DG                     |D11;
308    |DCJL|D19A,D11A    |D19     |9-11                     |9DG                     |D11;
309    |DCJL|D25A,D31A    |D25     |(27)                     |27DG                     |D31;
310    |DCJL|D25A,D35A    |D25     |(27),29                     |27DG,29DG                     |D31;
311    |DCJL|D25A,SVIIDA    |D25     |27                     |27DG                     |SVII;
312    |DCJL|D25A,S6DA    |D25     |(27),(29)                     |27DG,29DG                     |D31;
313    |DCJL|D25A,S5DA    |D25     |(27),29,35-37,31-33                     |27DG,29DG,31-37DG                     |D31;
314    |DCJL|D25A,S4DA    |D25     |(27),29,35-37,(31-33),35-37                     |27DG,29DG,31-37DG,33-35DG                     |D31;
315    |DCJL|D31A,D35A    |D31     |29                     |29DG                     |D35;
316    |DCJL|D31A,S6DA    |D31     |(29)                     |29DG                     |S6;
317    |DCJL|D31A,S5DA    |D31     |29,35-37,31-33                     |29DG,31-37DG                     |D35;
318    |DCJL|D31A,S4DA    |D31     |29,35-37,(31-33),35-37                     |29DG,31-37DG,33-35DG                     |D35;
319    |DCJL|D35A,S5DA    |D35     |35-37,31-33                     |31-37DG                     |S5;
320    |DCJL|D35A,S4DA    |D35     |35-37,(31-33),35-37                     |31-37DG,33-35DG                     |S4;
321    |DCJL|D33A,S5DA    |D33     |31-33,(35-37),31-33                     |33-35DG,31-37DG                     |S5;
322    |DCJL|D33A,S4DA    |D33     |31-33,35-37                     |33-35DG                     |S4;
323    |DCJL|SVIIIDA,XFDZA    |SVIII     |(9-11),(5-7),1-3                     |11DG,9DG,7DG,5DG,3DG                     |D11;
324    |DCJL|SVIIIDA,D3A    |SVIII     |(9-11),5-7                     |11DG,9DG,7DG                     |D11;
325    |DCJL|SVIIIDA,D1A    |SVIII     |(9-11),5-7,1-3                     |11DG,9DG,7DG,1DG                     |D11;
326    |DCJL|SVIIIDA,D11A    |SVIII     |(9-11)                     |11DG,9DG                     |D11;
327    |DCJL|SVIIIDA,D17A    |SVIII     |9-11                     |11DG                     |D17;
328    |DCJL|D37A,D45A    |D37     |(39-43),(45),(49)                     |39DG,41-49DG                     |D45;
329    |DCJL|D37A,D43A    |D37     |(39-43),(45),49                     |39DG,41-49DG                     |D43;
330    |DCJL|D37A,D41A    |D37     |(39-43),45                     |39DG,41-49DG                     |D41;
331    |DCJL|D37A,D39A    |D37     |39-43                     |39DG                     |D39;
332    |DCJL|SVIIDA,XFDZA    |SVII     |27,9-11,(5-7),1-3                     |27DG,9DG,7DG,5DG,3DG                     |D25;
333    |DCJL|SVIIDA,D3A    |SVII     |27,9-11,5-7                     |27DG,9DG,7DG                     |D25;
334    |DCJL|SVIIDA,D1A    |SVII     |27,9-11,5-7,1-3                     |27DG,9DG,7DG,1DG                     |D25;
335    |DCJL|SVIIDA,D11A    |SVII     |27,9-11                     |27DG,9DG                     |D25;
336    |DCJL|SVIIDA,D25A    |SVII     |27                     |27DG                     |D25;
337    |DCJL|D45A,XFDZA    |D45     |(49),(39-43),(9-11),(5-7),1-3                     |41-49DG,39DG,11DG,9DG,7DG,5DG,3DG                     |D37;
338    |DCJL|D45A,D3A    |D45     |(49),(39-43),(9-11),5-7                     |41-49DG,39DG,11DG,9DG,7DG                     |D37;
339    |DCJL|D45A,D1A    |D45     |(49),(39-43),(9-11),5-7,1-3                     |41-49DG,39DG,11DG,9DG,7DG,1DG                     |D37;
340    |DCJL|D45A,D11A    |D45     |(49),(39-43),(9-11)                     |41-49DG,39DG,11DG,9DG                     |D37;
341    |DCJL|D45A,D17A    |D45     |(49),(39-43),9-11                     |41-49DG,39DG,11DG                     |D37;
342    |DCJL|D45A,D37A    |D45     |(49),(39-43)                     |41-49DG,39DG                     |D37;
343    |DCJL|D43A,XFDZA    |D43     |49,(39-43),(9-11),(5-7),1-3                     |41-49DG,39DG,11DG,9DG,7DG,5DG,3DG                     |D37;
344    |DCJL|D43A,D3A    |D43     |49,(39-43),(9-11),5-7                     |41-49DG,39DG,11DG,9DG,7DG                     |D37;
345    |DCJL|D43A,D1A    |D43     |49,(39-43),(9-11),5-7,1-3                     |41-49DG,39DG,11DG,9DG,7DG,1DG                     |D37;
346    |DCJL|D43A,D11A    |D43     |49,(39-43),(9-11)                     |41-49DG,39DG,11DG,9DG                     |D37;
347    |DCJL|D43A,D17A    |D43     |49,(39-43),9-11                     |41-49DG,39DG,11DG                     |D37;
348    |DCJL|D43A,D37A    |D43     |49,(39-43)                     |41-49DG,39DG                     |D37;
349    |DCJL|D41A,XFDZA    |D41     |45,(39-43),(9-11),(5-7),1-3                     |41-49DG,39DG,11DG,9DG,7DG,5DG,3DG                     |D37;
350    |DCJL|D41A,D3A    |D41     |45,(39-43),(9-11),5-7                     |41-49DG,39DG,11DG,9DG,7DG                     |D37;
351    |DCJL|D41A,D1A    |D41     |45,(39-43),(9-11),5-7,1-3                     |41-49DG,39DG,11DG,9DG,7DG,1DG                     |D37;
352    |DCJL|D41A,D11A    |D41     |45,(39-43),(9-11)                     |41-49DG,39DG,11DG,9DG                     |D37;
353    |DCJL|D41A,D17A    |D41     |45,(39-43),9-11                     |41-49DG,39DG,11DG                     |D37;
354    |DCJL|D41A,D37A    |D41     |45,(39-43)                     |41-49DG,39DG                     |D37;
355    |DCJL|D39A,XFDZA    |D39     |39-43,(9-11),(5-7),1-3                     |39DG,11DG,9DG,7DG,5DG,3DG                     |D37;
356    |DCJL|D39A,D3A    |D39     |39-43,(9-11),5-7                     |39DG,11DG,9DG,7DG                     |D37;
357    |DCJL|D39A,D1A    |D39     |39-43,(9-11),5-7,1-3                     |39DG,11DG,9DG,7DG,1DG                     |D37;
358    |DCJL|D39A,D11A    |D39     |39-43,(9-11)                     |39DG,11DG,9DG                     |D37;
359    |DCJL|D39A,D17A    |D39     |39-43,9-11                     |39DG,11DG                     |D37;
360    |DCJL|D39A,D37A    |D39     |39-43                     |39DG                     |D37;
361    |DCJL|S6DA,XFDZA    |S6     |(29),(27),9-11,(5-7),1-3                     |29DG,27DG,9DG,7DG,5DG,3DG                     |D31,D25;
362    |DCJL|S6DA,D3A    |S6     |(29),(27),9-11,5-7                     |29DG,27DG,9DG,7DG                     |D31,D25;
363    |DCJL|S6DA,D1A    |S6     |(29),(27),9-11,5-7,1-3                     |29DG,27DG,9DG,7DG,1DG                     |D31,D25;
364    |DCJL|S6DA,D11A    |S6     |(29),(27),9-11                     |29DG,27DG,9DG                     |D31,D25;
365    |DCJL|S6DA,D25A    |S6     |(29),(27)                     |29DG,27DG                     |D31,D25;
366    |DCJL|S5DA,XFDZA    |S5     |31-33,(35-37),31-33,(21),17-19,(13-15),17-19,5-7,1-3                     |31-37DG,33-35DG,21DG,15-17DG,13-19DG,5DG,3DG                     |D33;
367    |DCJL|S5DA,D3A    |S5     |31-33,35-37,29,(27),9-11,5-7                     |31-37DG,29DG,27DG,9DG,7DG                     |D35,D31,D25;
368    |DCJL|S5DA,D1A    |S5     |31-33,35-37,29,(27),9-11,5-7,1-3                     |31-37DG,29DG,27DG,9DG,7DG,1DG                     |D35,D31,D25;
369    |DCJL|S5DA,D15A    |S5     |31-33,(35-37),31-33,(21),17-19,(13-15),17-19                     |31-37DG,33-35DG,21DG,15-17DG,13-19DG                     |D33;
370    |DCJL|S5DA,D13A    |S5     |31-33,(35-37),31-33,(21),17-19,13-15                     |31-37DG,33-35DG,21DG,15-17DG                     |D33;
371    |DCJL|S5DA,D11A    |S5     |31-33,35-37,29,(27),9-11                     |31-37DG,29DG,27DG,9DG                     |D35,D31,D25;
372    |DCJL|S5DA,D25A    |S5     |31-33,35-37,29,(27)                     |31-37DG,29DG,27DG                     |D35,D31,D25;
373    |DCJL|S5DA,D33A    |S5     |31-33,(35-37),31-33                     |31-37DG,33-35DG                     |D33;
374    |DCJL|S4DA,XFDZA    |S4     |35-37,31-33,(21),17-19,(13-15),17-19,5-7,1-3                     |33-35DG,21DG,15-17DG,13-19DG,5DG,3DG                     |D33;
375    |DCJL|S4DA,D3A    |S4     |35-37,(31-33),35-37,29,(27),9-11,5-7                     |33-35DG,31-37DG,29DG,27DG,9DG,7DG                     |D35,D31,D25;
376    |DCJL|S4DA,D1A    |S4     |35-37,31-33,(21),17-19,(13-15),17-19,5-7,(1-3)                     |33-35DG,21DG,15-17DG,13-19DG,5DG,3DG,1DG                     |D33;
377    |DCJL|S4DA,D15A    |S4     |35-37,31-33,(21),17-19,(13-15),17-19                     |33-35DG,21DG,15-17DG,13-19DG                     |D33;
378    |DCJL|S4DA,D13A    |S4     |35-37,31-33,(21),17-19,13-15                     |33-35DG,21DG,15-17DG                     |D33;
379    |DCJL|S4DA,D11A    |S4     |35-37,(31-33),35-37,29,(27),9-11                     |33-35DG,31-37DG,29DG,27DG,9DG                     |D35,D31,D25;
380    |DCJL|S4DA,D25A    |S4     |35-37,(31-33),35-37,29,(27)                     |33-35DG,31-37DG,29DG,27DG                     |D35,D31,D25;
381    |DCJL|S4DA,D33A    |S4     |35-37,31-33                     |33-35DG                     |D33;
382    |DCJL|S3DA,XFDZA    |S3     |21,17-19,(13-15),17-19,5-7,1-3                     |21DG,15-17DG,13-19DG,5DG,3DG                     |D21,D15;
383    |DCJL|S3DA,D1A    |S3     |21,17-19,(13-15),17-19,5-7,(1-3)                     |21DG,15-17DG,13-19DG,5DG,3DG,1DG                     |D21,D15;
384    |DCJL|S3DA,D15A    |S3     |21,17-19,(13-15),17-19                     |21DG,15-17DG,13-19DG                     |D21,D15;
385    |DCJL|S3DA,D13A    |S3     |21,17-19,13-15                     |21DG,15-17DG                     |D21,D13;
386    |DCJL|SIIDA,XFDZA    |SII     |23-25,13-15,17-19,5-7,1-3                     |23DG,13-19DG,5DG,3DG                     |D23,D15;
387    |DCJL|SIIDA,D1A    |SII     |23-25,13-15,17-19,5-7,(1-3)                     |23DG,13-19DG,5DG,3DG,1DG                     |D23,D15;
388    |DCJL|SIIDA,D15A    |SII     |23-25,13-15,17-19                     |23DG,13-19DG                     |D23,D15;
389    |DCJL|SIIDA,D13A    |SII     |23-25,13-15,(17-19),13-15                     |23DG,13-19DG,15-17DG                     |D23,D13;
390    |DCJL|SIDA,XFDZA    |SI     |(23-25),13-15,17-19,5-7,1-3                     |25DG,23DG,13-19DG,5DG,3DG                     |D23,D15;
391    |DCJL|SIDA,D1A    |SI     |(23-25),13-15,17-19,5-7,(1-3)                     |25DG,23DG,13-19DG,5DG,3DG,1DG                     |D23,D15;
392    |DCJL|SIDA,D15A    |SI     |(23-25),13-15,17-19                     |25DG,23DG,13-19DG                     |D23,D15;
393    |DCJL|SIDA,D13A    |SI     |(23-25),13-15,(17-19),13-15                     |25DG,23DG,13-19DG,15-17DG                     |D23,D13;
394    |DCJL|SIDA,D27A    |SI     |23-25                     |25DG                     |D27;
395    |DCJL|D50A,D54A    |D50     |(76),(72),66-70                     |68-76DG                     |D54;
396    |DCJL|D50A,D44A    |D50     |(76),(72),(66-70),62-64                     |68-76DG,66DG,64DG                     |D46,D44;
397    |DCJL|D50A,D10A    |D50     |(76),(72),(66-70),(62-64),44-46,40-42,10-12,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG                     |D46,D40,D36;
398    |DCJL|D50A,D12A    |D50     |(76),(72),(66-70),62-64,10-12                     |68-76DG,66DG,64DG,10DG                     |D46,D44;
399    |DCJL|D50A,D2A    |D50     |(76),(72),(66-70),62-64,10-12,2-4                     |68-76DG,66DG,64DG,10DG,2DG                     |D46,D44;
400    |DCJL|D50A,SFDZA    |D50     |(76),(72),(66-70),(62-64),44-46,40-42,10-12,14-16,2-4                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG,4DG                     |D46,D40,D36;
401    |DCJL|D50A,SDZA    |D50     |(76),(72),(66-70),(62-64),44-46,(40-42),44-46,(34),18-20,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG                     |D46,D40,D34,D28;
402    |DCJL|D50A,SJDA    |D50     |(76),(72),(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),6-8                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG                     |D46,D40,D34,D28;
403    |DCJL|D50A,D72A    |D50     |(76),(72),66-70,86,84,82,(78)                     |68-76DG,84-86DG,82DG,78DG                     |D54;
404    |DCJL|D50A,D74A    |D50     |(76),(72),66-70,86,84,82,78                     |68-76DG,84-86DG,82DG,78DG                     |D54;
405    |DCJL|D50A,D70A    |D50     |(76),(72),66-70,86,84,82                     |68-76DG,84-86DG,82DG                     |D54;
406    |DCJL|D50A,D68A    |D50     |(76),(72),66-70,86,84,(82)                     |68-76DG,84-86DG,82DG                     |D54;
407    |DCJL|D50A,D64A    |D50     |(76),(72),66-70,86,84                     |68-76DG,84-86DG                     |D54;
408    |DCJL|D50A,D36A    |D50     |(76),(72),(66-70),(62-64),44-46,40-42                     |68-76DG,66DG,64DG,62DG,42-44DG                     |D46,D40,D36;
409    |DCJL|D50A,D8A    |D50     |(76),(72),(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),(6-8)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D46,D40,D34,D28;
410    |DCJL|D50A,D28A    |D50     |(76),(72),(66-70),(62-64),44-46,(40-42),44-46,(34)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG                     |D46,D40,D34,D28;
411    |DCJL|D52A,D54A    |D52     |76,(72),66-70                     |68-76DG                     |D54;
412    |DCJL|D52A,D44A    |D52     |76,(72),(66-70),62-64                     |68-76DG,66DG,64DG                     |D46,D44;
413    |DCJL|D52A,D10A    |D52     |76,(72),(66-70),(62-64),44-46,40-42,10-12,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG                     |D46,D40,D36;
414    |DCJL|D52A,D12A    |D52     |76,(72),(66-70),62-64,10-12                     |68-76DG,66DG,64DG,10DG                     |D46,D44;
415    |DCJL|D52A,D2A    |D52     |76,(72),(66-70),62-64,10-12,2-4                     |68-76DG,66DG,64DG,10DG,2DG                     |D46,D44;
416    |DCJL|D52A,SFDZA    |D52     |76,(72),(66-70),(62-64),44-46,40-42,10-12,14-16,2-4                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG,4DG                     |D46,D40,D36;
417    |DCJL|D52A,SDZA    |D52     |76,(72),(66-70),(62-64),44-46,(40-42),44-46,(34),18-20,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG                     |D46,D40,D34,D28;
418    |DCJL|D52A,SJDA    |D52     |76,(72),(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),6-8                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,26DG                     |D46,D40,D34,D28;
419    |DCJL|D52A,D72A    |D52     |76,(72),66-70,86,84,82,(78)                     |68-76DG,84-86DG,82DG,78DG                     |D54;
420    |DCJL|D52A,D74A    |D52     |76,(72),66-70,86,84,82,78                     |68-76DG,84-86DG,82DG,78DG                     |D54;
421    |DCJL|D52A,D70A    |D52     |76,(72),66-70,86,84,82                     |68-76DG,84-86DG,82DG                     |D54;
422    |DCJL|D52A,D68A    |D52     |76,(72),66-70,86,84,(82)                     |68-76DG,84-86DG,82DG                     |D54;
423    |DCJL|D52A,D64A    |D52     |76,(72),66-70,86,84                     |68-76DG,84-86DG                     |D54;
424    |DCJL|D52A,D36A    |D52     |76,(72),(66-70),(62-64),44-46,40-42                     |68-76DG,66DG,64DG,62DG,42-44DG                     |D46,D40,D36;
425    |DCJL|D52A,D8A    |D52     |76,(72),(66-70),(62-64),44-46,(40-42),44-46,(34),(18-20),(6-8)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG,16-20DG,18DG,8DG,6DG,26DG                     |D46,D40,D34,D28;
426    |DCJL|D52A,D28A    |D52     |76,(72),(66-70),(62-64),44-46,(40-42),44-46,(34)                     |68-76DG,66DG,64DG,62DG,42-44DG,40-46DG,34-36DG                     |D46,D40,D34,D28;
427    |DCJL|D48A,D54A    |D48     |72,66-70                     |68-76DG                     |D54;
428    |DCJL|D48A,D44A    |D48     |72,(66-70),62-64                     |68-76DG,66DG,64DG                     |D46,D44;
429    |DCJL|D48A,D10A    |D48     |72,(66-70),(62-64),44-46,40-42,10-12,14-16                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG                     |D46,D40,D36;
430    |DCJL|D48A,D12A    |D48     |72,(66-70),62-64,10-12                     |68-76DG,66DG,64DG,10DG                     |D46,D44;
431    |DCJL|D48A,D2A    |D48     |72,(66-70),62-64,10-12,2-4                     |68-76DG,66DG,64DG,10DG,2DG                     |D46,D44;
432    |DCJL|D48A,SFDZA    |D48     |72,(66-70),(62-64),44-46,40-42,10-12,14-16,2-4                     |68-76DG,66DG,64DG,62DG,42-44DG,12DG,14DG,4DG                     |D46,D40,D36;
