//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
765    |DCJL|S9DA,D23A    |S9     |(47),(43),35-37,(39-41),35-37                     |43-47DG,45-49DG,35-41DG,37-39DG                     |D41;
766    |DCJL|S9DA,D41A    |S9     |(47),(43)                     |43-47DG,45-49DG                     |D41;
767    |DCJL|S7DA,D1A    |S7     |47,(43),35-37,39-41,(23),11-13,5-7,1-3                     |43-47DG,45-49DG,35-41DG,23DG,13DG,1-5DG                     |D41;
768    |DCJL|S7DA,D5A    |S7     |47,(43),35-37,(39-41),35-37,5-7,9                     |43-47DG,45-49DG,35-41DG,37-39DG,7-9DG                     |D41;
769    |DCJL|S7DA,D3A    |S7     |47,(43),35-37,(39-41),35-37,5-7,(9)                     |43-47DG,45-49DG,35-41DG,37-39DG,7-9DG                     |D41;
770    |DCJL|S7DA,XNDZA    |S7     |47,(43),35-37,39-41,(23),(11-13),1-3                     |43-47DG,45-49DG,35-41DG,23DG,13DG,11DG,3DG,1-5DG                     |D41;
771    |DCJL|S7DA,D23A    |S7     |47,(43),35-37,(39-41),35-37                     |43-47DG,45-49DG,35-41DG,37-39DG                     |D41;
772    |DCJL|S7DA,D41A    |S7     |47,(43)                     |43-47DG,45-49DG                     |D41;
773    |DCJL|S5DA,D1A    |S5     |(33),(27),23,11-13,5-7,1-3                     |33DG,27DG,23DG,13DG,1-5DG,35-41DG                     |D43,D21,D1;
774    |DCJL|S5DA,XNDZA    |S5     |(33),(27),23,(11-13),1-3                     |33DG,27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG                     |D43,D21,D7,XN;
775    |DCJL|S3DA,D1A    |S3     |33,(27),23,11-13,5-7,1-3                     |33DG,27DG,23DG,13DG,1-5DG,35-41DG                     |D43,D21,D1;
776    |DCJL|S3DA,XNDZA    |S3     |33,(27),23,(11-13),1-3                     |33DG,27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG                     |D43,D21,D7,XN;
777    |DCJL|SIDA,D1A    |SI     |27,23,11-13,5-7,1-3                     |27DG,23DG,13DG,1-5DG,35-41DG                     |D21,D1;
778    |DCJL|SIDA,XNDZA    |SI     |27,23,(11-13),1-3                     |27DG,23DG,13DG,11DG,3DG,35-41DG,1-5DG                     |D21,D7,XN;
779    |DCJL|SIIDA,D1A    |SII     |17-19,11-13,(1-3)                     |17DG,11DG,3DG,1-5DG                     |D15,D7,D1;
780    |DCJL|SIIDA,XNDZA    |SII     |17-19,11-13,1-3                     |17DG,11DG,3DG                     |D15,D7,XN;
781    |DCJL|S4DA,D1A    |S4     |29,(17-19),11-13,(1-3)                     |29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |D29;
782    |DCJL|S4DA,XNDZA    |S4     |29,(17-19),11-13,1-3                     |29-31DG,19DG,17DG,11DG,3DG,21DG                     |D29;
783    |DCJL|S4DA,D9A    |S4     |29,17-19,21,15                     |29-31DG,19DG,21DG,15DG                     |D29;
784    |DCJL|S4DA,D11A    |S4     |29,17-19,21,(15)                     |29-31DG,19DG,21DG,15DG                     |D29;
785    |DCJL|S4DA,D19A    |S4     |29,17-19,21                     |29-31DG,19DG,21DG                     |D29;
786    |DCJL|S4DA,D29A    |S4     |29                     |29-31DG                     |D29;
787    |DCJL|S6DA,D1A    |S6     |(31),(29),(17-19),11-13,(1-3)                     |29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |D29;
788    |DCJL|S6DA,XNDZA    |S6     |(31),(29),(17-19),11-13,1-3                     |29-31DG,19DG,17DG,11DG,3DG,21DG                     |D29;
789    |DCJL|S6DA,D9A    |S6     |(31),(29),17-19,21,15                     |29-31DG,19DG,21DG,15DG                     |D29;
790    |DCJL|S6DA,D11A    |S6     |(31),(29),17-19,21,(15)                     |29-31DG,19DG,21DG,15DG                     |D29;
791    |DCJL|S6DA,D19A    |S6     |(31),(29),17-19,21                     |29-31DG,19DG,21DG                     |D29;
792    |DCJL|S6DA,D29A    |S6     |(31),(29)                     |29-31DG                     |D29;
793    |DCJL|S8DA,D1A    |S8     |31,(29),(17-19),11-13,(1-3)                     |29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |D29;
794    |DCJL|S8DA,XNDZA    |S8     |31,(29),(17-19),11-13,1-3                     |29-31DG,19DG,17DG,11DG,3DG,21DG                     |D29;
795    |DCJL|S8DA,D9A    |S8     |31,(29),17-19,21,15                     |29-31DG,19DG,21DG,15DG                     |D29;
796    |DCJL|S8DA,D11A    |S8     |31,(29),17-19,21,(15)                     |29-31DG,19DG,21DG,15DG                     |D29;
797    |DCJL|S8DA,D19A    |S8     |31,(29),17-19,21                     |29-31DG,19DG,21DG                     |D29;
798    |DCJL|S8DA,D29A    |S8     |31,(29)                     |29-31DG                     |D29;
674    |DCJL|SIILDA,SIILDZA    |SIIL     |                     |                     |SIILLZA;
675    |DCJL|S4LDA,S4LDZA    |S4L     |                     |                     |S4LLZA;
676    |DCJL|S6LDA,S6LDZA    |S6L     |                     |                     |S6LLZA;
677    |DCJL|S8LDA,S8LDZA    |S8L     |                     |                     |S8LLZA;
678    |DCJL|X23LDA,D52DA    |X23L     |                     |23G2                     |D52LA;
799    |DCJL|SIILDA,D1A    |SIIL     |,17-19,11-13,(1-3)                     |,17DG,11DG,3DG,1-5DG                     |SIILLZA;
800    |DCJL|SIILDA,XNDZA    |SIIL     |,17-19,11-13,1-3                     |,17DG,11DG,3DG                     |SIILLZA;
801    |DCJL|S4LDA,D1A    |S4L     |,29,(17-19),11-13,(1-3)                     |,29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |S4LLZA;
802    |DCJL|S4LDA,XNDZA    |S4L     |,29,(17-19),11-13,1-3                     |,29-31DG,19DG,17DG,11DG,3DG,21DG                     |S4LLZA;
803    |DCJL|S4LDA,D9A    |S4L     |,29,17-19,21,15                     |,29-31DG,19DG,21DG,15DG                     |S4LLZA;
804    |DCJL|S4LDA,D11A    |S4L     |,29,17-19,21,(15)                     |,29-31DG,19DG,21DG,15DG                     |S4LLZA;
805    |DCJL|S4LDA,D19A    |S4L     |,29,17-19,21                     |,29-31DG,19DG,21DG                     |S4LLZA;
806    |DCJL|S4LDA,D29A    |S4L     |,29                     |,29-31DG                     |S4LLZA;
807    |DCJL|S6LDA,D1A    |S6L     |,(31),(29),(17-19),11-13,(1-3)                     |,29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |S6LLZA;
808    |DCJL|S6LDA,XNDZA    |S6L     |,(31),(29),(17-19),11-13,1-3                     |,29-31DG,19DG,17DG,11DG,3DG,21DG                     |S6LLZA;
809    |DCJL|S6LDA,D9A    |S6L     |,(31),(29),17-19,21,15                     |,29-31DG,19DG,21DG,15DG                     |S6LLZA;
810    |DCJL|S6LDA,D11A    |S6L     |,(31),(29),17-19,21,(15)                     |,29-31DG,19DG,21DG,15DG                     |S6LLZA;
811    |DCJL|S6LDA,D19A    |S6L     |,(31),(29),17-19,21                     |,29-31DG,19DG,21DG                     |S6LLZA;
812    |DCJL|S6LDA,D29A    |S6L     |,(31),(29)                     |,29-31DG                     |S6LLZA;
813    |DCJL|S8LDA,D1A    |S8L     |,31,(29),(17-19),11-13,(1-3)                     |,29-31DG,19DG,17DG,11DG,3DG,1-5DG,21DG                     |S8LLZA;
814    |DCJL|S8LDA,XNDZA    |S8L     |,31,(29),(17-19),11-13,1-3                     |,29-31DG,19DG,17DG,11DG,3DG,21DG                     |S8LLZA;
815    |DCJL|S8LDA,D9A    |S8L     |,31,(29),17-19,21,15                     |,29-31DG,19DG,21DG,15DG                     |S8LLZA;
816    |DCJL|S8LDA,D11A    |S8L     |,31,(29),17-19,21,(15)                     |,29-31DG,19DG,21DG,15DG                     |S8LLZA;
817    |DCJL|S8LDA,D19A    |S8L     |,31,(29),17-19,21                     |,29-31DG,19DG,21DG                     |S8LLZA;
818    |DCJL|S8LDA,D29A    |S8L     |,31,(29)                     |,29-31DG                     |S8LLZA;
819    |DCJL|X23LDA,D40A    |X23L     |,(82-84),78-80                     |23G2,84DG,80-82DG                     |D52LA;
820    |DCJL|X23LDA,D32A    |X23L     |,(82-84),(78-80),74-76,70-72                     |23G2,84DG,80-82DG,78DG,72-74DG                     |D52LA;
821    |DCJL|X23LDA,D30A    |X23L     |,(82-84),(78-80),74-76,(70-72),74-76                     |23G2,84DG,80-82DG,78DG,72-74DG,70-76DG                     |D52LA;
682    |DCJL|X21LDA,D62DA    |X21L     |90-92                     |92DG                     |D62;
683    |DCJL|X21LDA,D58DA    |X21L     |(90-92),86-88                     |92DG,90DG,88DG                     |D60,D58;
684    |DCJL|X21LDA,D56DA    |X21L     |(90-92),(86-88)                     |92DG,90DG,88DG,86DG                     |D60,D56;
822    |DCJL|X21LDA,D40A    |X21L     |90-92,82-84,78-80                     |92DG,80-82DG                     |D62;
823    |DCJL|X21LDA,D32A    |X21L     |90-92,82-84,(78-80),74-76,70-72                     |92DG,80-82DG,78DG,72-74DG                     |D62;
824    |DCJL|X21LDA,D30A    |X21L     |90-92,82-84,(78-80),74-76,(70-72),74-76                     |92DG,80-82DG,78DG,72-74DG,70-76DG                     |D62;
688    |DCJL|X19LDA,D58DA    |X19L     |90-92,86-88                     |90DG,88DG                     |D60,D58;
689    |DCJL|X19LDA,D56DA    |X19L     |90-92,(86-88)                     |90DG,88DG,86DG                     |D60,D56;
825    |DCJL|X19LDA,D32A    |X19L     |90-92,86-88,78-80,74-76,70-72                     |90DG,88DG,78DG,72-74DG                     |D60,D58;
826    |DCJL|X19LDA,D30A    |X19L     |90-92,86-88,78-80,74-76,(70-72),74-76                     |90DG,88DG,78DG,72-74DG,70-76DG                     |D60,D58;
692    |DCJL|X17LDA,D56DA    |X17L     |86-88                     |86DG                     |D56;
827    |DCJL|X17LDA,D32A    |X17L     |86-88,70-72,(74-76),70-72                     |86DG,70-76DG,72-74DG                     |D56;
828    |DCJL|X17LDA,D30A    |X17L     |86-88,70-72,74-76                     |86DG,70-76DG                     |D56;
695    |DCJL|X15LDA,S15LDA    |X15L     |52-54                     |52DG                     |S15L;
829    |DCJL|X15LDA,D26A    |X15L     |52-54,(26),(24),16-18                     |52DG,26-34DG,24-32DG,18DG                     |S15L;
830    |DCJL|X15LDA,D20A    |X15L     |52-54,(26),(24),(16-18),10-12                     |52DG,26-34DG,24-32DG,18DG,16-28DG,12DG                     |S15L;
831    |DCJL|X15LDA,D16A    |X15L     |52-54,(26),(24),16-18,14,6-8                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG                     |S15L;
832    |DCJL|X15LDA,D10A    |X15L     |52-54,(26),(24),16-18,14,6-8,64,(66)                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S15L;
833    |DCJL|X15LDA,D12A    |X15L     |52-54,(26),(24),16-18,14,6-8,(64)                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S15L;
834    |DCJL|X15LDA,D4A    |X15L     |52-54,(26),(24),16-18,14,6-8,64,(66),(68)                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S15L;
835    |DCJL|X15LDA,D6A    |X15L     |52-54,(26),(24),16-18,14,6-8,64,(66),68                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S15L;
836    |DCJL|X15LDA,D8A    |X15L     |52-54,(26),(24),16-18,14,6-8,64,66                     |52DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S15L;
837    |DCJL|X15LDA,SNDZA    |X15L     |52-54,(26),(24),(16-18),10-12,6-8                     |52DG,26-34DG,24-32DG,18DG,16-28DG,12DG,8DG                     |S15L;
838    |DCJL|X15LDA,SDZA    |X15L     |52-54,(26),(24),(16-18),(10-12),2-4                     |52DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG                     |S15L;
839    |DCJL|X15LDA,SL2DA    |X15L     |52-54,(26),(24),(16-18),(10-12),(2-4)                     |52DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG                     |S15L;
840    |DCJL|X15LDA,D2A    |X15L     |52-54,(26),(24),(16-18),(10-12),(2-4),X1-X2                     |52DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1DG                     |S15L;
841    |DCJL|X15LDA,SL6DA    |X15L     |52-54,(26),(24),16-18,(14)                     |52DG,26-34DG,24-32DG,18DG,14DG,SL4G                     |S15L;
709    |DCJL|X13LDA,S15LDA    |X13L     |56-58,(52-54)                     |54-58DG,52DG                     |S15L;
710    |DCJL|X13LDA,S13LDA    |X13L     |56-58,52-54                     |54-58DG                     |S13L;
711    |DCJL|X13LDA,S11LDA    |X13L     |(56-58)                     |54-58DG,56DG                     |S11L;
842    |DCJL|X13LDA,D26A    |X13L     |56-58,52-54,(34),26,(24),16-18                     |54-58DG,26-34DG,24-32DG,18DG                     |S13L;
843    |DCJL|X13LDA,D20A    |X13L     |56-58,52-54,(34),26,(24),(16-18),10-12                     |54-58DG,26-34DG,24-32DG,18DG,16-28DG,12DG                     |S13L;
844    |DCJL|X13LDA,D16A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG                     |S13L;
845    |DCJL|X13LDA,D10A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8,64,(66)                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S13L;
846    |DCJL|X13LDA,D12A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8,(64)                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S13L;
847    |DCJL|X13LDA,D4A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8,64,(66),(68)                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S13L;
848    |DCJL|X13LDA,D6A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8,64,(66),68                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S13L;
849    |DCJL|X13LDA,D8A    |X13L     |56-58,52-54,(34),26,(24),16-18,14,6-8,64,66                     |54-58DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S13L;
850    |DCJL|X13LDA,SNDZA    |X13L     |56-58,52-54,(34),26,(24),(16-18),10-12,6-8                     |54-58DG,26-34DG,24-32DG,18DG,16-28DG,12DG,8DG                     |S13L;
851    |DCJL|X13LDA,SDZA    |X13L     |56-58,52-54,(34),26,(24),(16-18),(10-12),2-4                     |54-58DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG                     |S13L;
852    |DCJL|X13LDA,SL2DA    |X13L     |56-58,52-54,(34),26,(24),(16-18),(10-12),(2-4)                     |54-58DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG                     |S13L;
853    |DCJL|X13LDA,D2A    |X13L     |56-58,52-54,(34),26,(24),(16-18),(10-12),(2-4),X1-X2                     |54-58DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1DG                     |S13L;
854    |DCJL|X13LDA,SL6DA    |X13L     |56-58,52-54,(34),26,(24),16-18,(14)                     |54-58DG,26-34DG,24-32DG,18DG,14DG,SL4G                     |S13L;
725    |DCJL|X11LDA,S11LDA    |X11L     |56-58                     |56DG                     |S11L;
855    |DCJL|X11LDA,D26A    |X11L     |56-58,34,26,(24),16-18                     |56DG,26-34DG,24-32DG,18DG                     |S11L;
856    |DCJL|X11LDA,D20A    |X11L     |56-58,34,26,(24),(16-18),10-12                     |56DG,26-34DG,24-32DG,18DG,16-28DG,12DG                     |S11L;
857    |DCJL|X11LDA,D16A    |X11L     |56-58,34,26,(24),16-18,14,6-8                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG                     |S11L;
858    |DCJL|X11LDA,D10A    |X11L     |56-58,34,26,(24),16-18,14,6-8,64,(66)                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S11L;
859    |DCJL|X11LDA,D12A    |X11L     |56-58,34,26,(24),16-18,14,6-8,(64)                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG                     |S11L;
860    |DCJL|X11LDA,D4A    |X11L     |56-58,34,26,(24),16-18,14,6-8,64,(66),(68)                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S11L;
861    |DCJL|X11LDA,D6A    |X11L     |56-58,34,26,(24),16-18,14,6-8,64,(66),68                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S11L;
862    |DCJL|X11LDA,D8A    |X11L     |56-58,34,26,(24),16-18,14,6-8,64,66                     |56DG,26-34DG,24-32DG,18DG,14DG,6DG,64-66DG,68DG                     |S11L;
863    |DCJL|X11LDA,SNDZA    |X11L     |56-58,34,26,(24),(16-18),10-12,6-8                     |56DG,26-34DG,24-32DG,18DG,16-28DG,12DG,8DG                     |S11L;
864    |DCJL|X11LDA,SDZA    |X11L     |56-58,34,26,(24),(16-18),(10-12),2-4                     |56DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG                     |S11L;
865    |DCJL|X11LDA,SL2DA    |X11L     |56-58,34,26,(24),(16-18),(10-12),(2-4)                     |56DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG                     |S11L;
866    |DCJL|X11LDA,D2A    |X11L     |56-58,34,26,(24),(16-18),(10-12),(2-4),X1-X2                     |56DG,26-34DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,X1DG                     |S11L;
867    |DCJL|X11LDA,SL6DA    |X11L     |56-58,34,26,(24),16-18,(14)                     |56DG,26-34DG,24-32DG,18DG,14DG,SL4G                     |S11L;
739    |DCJL|X9LDA,S9LDA    |X9L     |60-62                     |62DG                     |S9L;
740    |DCJL|X9LDA,S7LDA    |X9L     |(60-62)                     |62DG,60DG                     |S7L;
868    |DCJL|X9LDA,D26A    |X9L     |60-62,40,(32),24,16-18                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG                     |S9L;
869    |DCJL|X9LDA,D20A    |X9L     |60-62,40,(32),24,(16-18),10-12                     |62DG,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG                     |S9L;
870    |DCJL|X9LDA,D16A    |X9L     |60-62,40,(32),24,16-18,14,6-8                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG                     |S9L;
871    |DCJL|X9LDA,D10A    |X9L     |60-62,40,(32),24,16-18,14,6-8,64,(66)                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |S9L;
872    |DCJL|X9LDA,D12A    |X9L     |60-62,40,(32),24,16-18,14,6-8,(64)                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |S9L;
873    |DCJL|X9LDA,D4A    |X9L     |60-62,40,(32),24,16-18,14,6-8,64,(66),(68)                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S9L;
874    |DCJL|X9LDA,D6A    |X9L     |60-62,40,(32),24,16-18,14,6-8,64,(66),68                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S9L;
875    |DCJL|X9LDA,D8A    |X9L     |60-62,40,(32),24,16-18,14,6-8,64,66                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S9L;
876    |DCJL|X9LDA,SNDZA    |X9L     |60-62,40,(32),24,(16-18),10-12,6-8                     |62DG,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG,8DG                     |S9L;
877    |DCJL|X9LDA,SDZA    |X9L     |60-62,40,(32),24,(16-18),(10-12),2-4                     |62DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,30DG,26-34DG                     |S9L;
878    |DCJL|X9LDA,SL2DA    |X9L     |60-62,40,(32),24,(16-18),(10-12),(2-4)                     |62DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG                     |S9L;
879    |DCJL|X9LDA,D2A    |X9L     |60-62,40,(32),24,(16-18),(10-12),(2-4),X1-X2                     |62DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG,X1DG                     |S9L;
880    |DCJL|X9LDA,SL6DA    |X9L     |60-62,40,(32),24,16-18,(14)                     |62DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,SL4G                     |S9L;
754    |DCJL|X7LDA,S7LDA    |X7L     |60-62                     |60DG                     |S7L;
881    |DCJL|X7LDA,D26A    |X7L     |60-62,(42),(40),(32),24,16-18                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG                     |S7L;
882    |DCJL|X7LDA,D20A    |X7L     |60-62,(42),(40),(32),24,(16-18),10-12                     |60DG,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG                     |S7L;
883    |DCJL|X7LDA,D16A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG                     |S7L;
884    |DCJL|X7LDA,D10A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8,64,(66)                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |S7L;
885    |DCJL|X7LDA,D12A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8,(64)                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |S7L;
886    |DCJL|X7LDA,D4A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8,64,(66),(68)                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S7L;
887    |DCJL|X7LDA,D6A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8,64,(66),68                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S7L;
888    |DCJL|X7LDA,D8A    |X7L     |60-62,(42),(40),(32),24,16-18,14,6-8,64,66                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |S7L;
889    |DCJL|X7LDA,SNDZA    |X7L     |60-62,(42),(40),(32),24,(16-18),10-12,6-8                     |60DG,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG,8DG                     |S7L;
890    |DCJL|X7LDA,SDZA    |X7L     |60-62,(42),(40),(32),24,(16-18),(10-12),2-4                     |60DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,30DG,26-34DG                     |S7L;
891    |DCJL|X7LDA,SL2DA    |X7L     |60-62,(42),(40),(32),24,(16-18),(10-12),(2-4)                     |60DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG                     |S7L;
892    |DCJL|X7LDA,D2A    |X7L     |60-62,(42),(40),(32),24,(16-18),(10-12),(2-4),X1-X2                     |60DG,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG,X1DG                     |S7L;
893    |DCJL|X7LDA,SL6DA    |X7L     |60-62,(42),(40),(32),24,16-18,(14)                     |60DG,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,SL4G                     |S7L;
768    |DCJL|X5LDA,X5LDZA    |X5L     |                     |                     |X5LLZA;
769    |DCJL|X3LDA,X3LDZA    |X3L     |                     |                     |X3LLZA;
770    |DCJL|XILDA,XILDZA    |XIL     |                     |                     |XILLZA;
771    |DCJL|D52A,D40A    |D52     |(82-84),78-80                     |84DG,80-82DG                     |D40;
772    |DCJL|D52A,D32A    |D52     |(82-84),(78-80),74-76,70-72                     |84DG,80-82DG,78DG,72-74DG                     |D38,D32;
773    |DCJL|D52A,D30A    |D52     |(82-84),(78-80),74-76,(70-72),74-76                     |84DG,80-82DG,78DG,72-74DG,70-76DG                     |D38,D30;
774    |DCJL|D62DA,X21LDA    |D62     |90-92                     |92DG                     |X21L;
894    |DCJL|X5LDA,D26A    |X5L     |,42,(40),(32),24,16-18                     |,40-42DG,24-32DG,18DG,30DG,26-34DG                     |X5LLZA;
895    |DCJL|X5LDA,D20A    |X5L     |,42,(40),(32),24,(16-18),10-12                     |,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG                     |X5LLZA;
896    |DCJL|X5LDA,D16A    |X5L     |,42,(40),(32),24,16-18,14,6-8                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG                     |X5LLZA;
897    |DCJL|X5LDA,D10A    |X5L     |,42,(40),(32),24,16-18,14,6-8,64,(66)                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |X5LLZA;
898    |DCJL|X5LDA,D12A    |X5L     |,42,(40),(32),24,16-18,14,6-8,(64)                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG                     |X5LLZA;
899    |DCJL|X5LDA,D4A    |X5L     |,42,(40),(32),24,16-18,14,6-8,64,(66),(68)                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |X5LLZA;
900    |DCJL|X5LDA,D6A    |X5L     |,42,(40),(32),24,16-18,14,6-8,64,(66),68                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |X5LLZA;
901    |DCJL|X5LDA,D8A    |X5L     |,42,(40),(32),24,16-18,14,6-8,64,66                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,6DG,64-66DG,68DG                     |X5LLZA;
902    |DCJL|X5LDA,SNDZA    |X5L     |,42,(40),(32),24,(16-18),10-12,6-8                     |,40-42DG,24-32DG,18DG,16-28DG,12DG,30DG,26-34DG,8DG                     |X5LLZA;
903    |DCJL|X5LDA,SDZA    |X5L     |,42,(40),(32),24,(16-18),(10-12),2-4                     |,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,30DG,26-34DG                     |X5LLZA;
904    |DCJL|X5LDA,SL2DA    |X5L     |,42,(40),(32),24,(16-18),(10-12),(2-4)                     |,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG                     |X5LLZA;
905    |DCJL|X5LDA,D2A    |X5L     |,42,(40),(32),24,(16-18),(10-12),(2-4),X1-X2                     |,40-42DG,24-32DG,18DG,16-28DG,12DG,10DG,4DG,2DG,30DG,26-34DG,X1DG                     |X5LLZA;
906    |DCJL|X5LDA,SL6DA    |X5L     |,42,(40),(32),24,16-18,(14)                     |,40-42DG,24-32DG,18DG,30DG,26-34DG,14DG,SL4G                     |X5LLZA;
907    |DCJL|X3LDA,D26A    |X3L     |,44-46,28-30,32,24,16-18                     |,44DG,30DG,24-32DG,18DG,40-42DG,26-34DG                     |X3LLZA;
908    |DCJL|X3LDA,D20A    |X3L     |,44-46,28-30,32,24,(16-18),10-12                     |,44DG,30DG,24-32DG,18DG,16-28DG,12DG,40-42DG,26-34DG                     |X3LLZA;
909    |DCJL|X3LDA,D16A    |X3L     |,44-46,28-30,32,24,16-18,14,6-8                     |,44DG,30DG,24-32DG,18DG,40-42DG,26-34DG,14DG,6DG                     |X3LLZA;
910    |DCJL|X3LDA,D10A    |X3L     |,44-46,28-30,32,24,16-18,14,6-8,64,(66)                     |,44DG,30DG,24-32DG,18DG,40-42DG,26-34DG,14DG,6DG,64-66DG                     |X3LLZA;
