//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
60    |LCJL|XNLA,S23LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,(51-53)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,53DG,1-5DG,55-57DG,23G1                     |D7,D21,D35,D37,S23;
61    |LCJL|XNLA,S21LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,(57)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,21G1                     |D7,D21,D35,D37,S21;
62    |LCJL|XNLA,S19LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,57                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,19G1                     |D7,D21,D35,D37,S19;
63    |LCJL|XNLA,S17LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,(55)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,17G1                     |D7,D21,D35,D37,S17;
64    |LCJL|XNLA,S15LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,(45)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,15G1                     |D7,D21,D39,D41,S15;
65    |LCJL|XNLA,S13LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,(49)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,13G1                     |D7,D21,D39,D41,S13;
66    |LCJL|XNLA,S11LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,49                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,11G1                     |D7,D21,D39,D41,S11;
67    |LCJL|XNLA,S9LA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),(47)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,1-5DG,45-49DG,9G1                     |D7,D21,D39,D41,S9;
68    |LCJL|XNLA,S7LA    |XN     |1-3,(11-13),(23),39-41,35-37,(43),47                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,1-5DG,45-49DG,7G1                     |D7,D21,D39,D41,S7;
69    |LCJL|XNLA,S5LA    |XN     |1-3,(11-13),23,(27),(33)                     |3DG,11DG,13DG,23DG,27DG,33DG,1-5DG,35-41DG,5G1                     |D7,D21,D43,S5;
70    |LCJL|XNLA,S3LA    |XN     |1-3,(11-13),23,(27),33                     |3DG,11DG,13DG,23DG,27DG,33DG,1-5DG,35-41DG,3G1                     |D7,D21,D43,S3;
71    |LCJL|XNLA,SILA    |XN     |1-3,(11-13),23,27                     |3DG,11DG,13DG,23DG,27DG,1-5DG,35-41DG,IG1                     |D7,D21,SI;
72    |LCJL|XNLA,SIILA    |XN     |1-3,11-13,17-19                     |3DG,11DG,17DG,IIG1                     |D7,D15,SII;
73    |LCJL|XNLA,S4LA    |XN     |1-3,11-13,(17-19),29                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,4G1                     |D7,D15,D27,D29,S4;
74    |LCJL|XNLA,S6LA    |XN     |1-3,11-13,(17-19),(29),(31)                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,6G1                     |D7,D15,D27,D29,S6;
75    |LCJL|XNLA,S8LA    |XN     |1-3,11-13,(17-19),(29),31                     |3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,8G1                     |D7,D15,D27,D29,S8;
76    |LCJL|XNLA,D52LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,(51-53)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,53DG,23G1,23G2,1-5DG,55-57DG                     |D7,D21,D35,D37,S23,X23L,D52LA;
77    |LCJL|XNLA,D62LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,(57),90-92                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,21G1,92DG,1-5DG,21G2                     |D7,D21,D35,D37,S21,X21L,D62;
78    |LCJL|XNLA,D58LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,57,90-92,86-88                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,1-5DG,19G2                     |D7,D21,D35,D37,S19,X19L,D60,D58;
79    |LCJL|XNLA,D56LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,(55),86-88                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,17G1,86DG,1-5DG,17G2                     |D7,D21,D35,D37,S17,X17L,D56;
80    |LCJL|XNLA,S15LLA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,(49),56-58,(52-54)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1,54-58DG,52DG,1-5DG,15G2                     |D7,D21,D39,D41,S13,X13L,S15L;
81    |LCJL|XNLA,S13LLA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,(49),56-58,52-54                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,13G1,54-58DG,1-5DG,13G2                     |D7,D21,D39,D41,S13,X13L,S13L;
