//联锁表-新街(2.5版本)
//序号|类型|按钮      |信号机      |道岔     |区段     |敌对信号
//列车
34    |LCJL|XLA,S6LA    |X     |(1-3),11-13,(17-19),(29),(31)                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,6G1                     |D1,D7,D15,D27,D29,S6;
35    |LCJL|XLA,S8LA    |X     |(1-3),11-13,(17-19),(29),31                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,21DG,8G1                     |D1,D7,D15,D27,D29,S8;
36    |LCJL|XLA,SIILLA    |X     |(1-3),11-13,17-19                     |IAG,1-5DG,3DG,11DG,17DG,IIG1,IIG2                     |D1,D7,D15,SII,SIILLZA,SIIL;
37    |LCJL|XLA,S4LLA    |X     |(1-3),11-13,(17-19),29                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,4G1,21DG,4G2                     |D1,D7,D15,D27,D29,S4,S4LLZA,S4L;
38    |LCJL|XLA,S6LLA    |X     |(1-3),11-13,(17-19),(29),(31)                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,6G1,21DG                     |D1,D7,D15,D27,D29,S6,S6L;
39    |LCJL|XLA,S8LLA    |X     |(1-3),11-13,(17-19),(29),31                     |IAG,1-5DG,3DG,11DG,17DG,19DG,19/21G,29-31DG,8G1,21DG,8G2                     |D1,D7,D15,D27,D29,S8,S8LLZA,S8L;
40    |LCJL|XLA,D62LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,(57),90-92                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,21G1,92DG,21G2                     |D1,D21,D35,D37,S21,X21L,D62;
41    |LCJL|XLA,D58LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,55,57,90-92,86-88                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,19G1,90DG,88DG,19G2                     |D1,D21,D35,D37,S19,X19L,D60,D58;
42    |LCJL|XLA,D56LA    |X     |1-3,5-7,11-13,(23),39-41,(35-37),39-41,51-53,(55),86-88                     |IAG,1-5DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,17G1,86DG,17G2                     |D1,D21,D35,D37,S17,X17L,D56;
43    |LCJL|XNLA,S23LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,(51-53)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,53DG,1-5DG,55-57DG,23G1                     |D7,D21,D35,D37,S23;
44    |LCJL|XNLA,S21LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,(57)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,21G1                     |D7,D21,D35,D37,S21;
45    |LCJL|XNLA,S19LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,55,57                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,19G1                     |D7,D21,D35,D37,S19;
46    |LCJL|XNLA,S17LA    |XN     |1-3,(11-13),(23),39-41,(35-37),39-41,51-53,(55)                     |3DG,11DG,13DG,23DG,35-41DG,37-39DG,51DG,55-57DG,1-5DG,17G1                     |D7,D21,D35,D37,S17;
47    |LCJL|XNLA,S15LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,(45)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,15G1                     |D7,D21,D39,D41,S15;
48    |LCJL|XNLA,S13LA    |XN     |1-3,(11-13),(23),39-41,35-37,43,45,(49)                     |3DG,11DG,13DG,23DG,35-41DG,43-47DG,45-49DG,1-5DG,13G1                     |D7,D21,D39,D41,S13;
